file,span_index,original,annotated,features
CaterinaSapiente-Calvino.txt,39,"Santo cielo! - esclamò il Reuzzo appena vide la bella Signora affacciata al finestrone. - Anche questa assomiglia tutta alla mia moglie di Genova che assomigliava tutta alla mia moglie di Napoli che assomigliava tutta a Caterina la Sapiente! Ma come può essere? Caterina è a Palermo chiusa nel trabocchetto; quella di Napoli è a Napoli, quella di Genova è a Genova, e questa è a Venezia... - Le mando l'ambasciatore e poi andò a trovarla.","Santo cielo! - esclamò il Reuzzo appena vide la bella Signora affacciata al finestrone. - Anche questa assomiglia tutta alla mia moglie di Genova che assomigliava tutta alla mia moglie di Napoli che assomigliava tutta a Caterina la Sapiente! Ma come può essere? Caterina è a Palermo chiusa nel trabocchetto; quella di Napoli è a Napoli, quella di Genova è a Genova, e questa è a Venezia... - <ab type=""pron"" ana=""3"">Le</ab> mando l'ambasciatore e poi andò a trovarla.",Le:3
CaterinaSapiente-Calvino.txt,40,"Ma sapete, Signora, che assomigliate a tante signore che conosco: una a Palermo, una a Napoli, una a Genova...","Ma <ab type=""pron"" ana=""verb_2"">sapete</ab>, Signora, che assomigliate a tante signore che conosco: una a Palermo, una a Napoli, una a Genova...",sapete:verb_2
CaterinaSapiente-Calvino.txt,41,Eh! In sette dobbiamo assomigliarci a questo mondo...,Eh! In sette dobbiamo assomigliarci a questo mondo...,
CaterinaSapiente-Calvino.txt,42,Siete da sposare?...,"<ab type=""pron"" ana=""verb_3"">Siete</ab> da sposare?...",Siete:verb_3
CaterinaSapiente-Calvino.txt,43,Venezia. - E Venezia fu battezzata.,Venezia. - E Venezia fu battezzata.,
CaterinaSapiente-Calvino.txt,44,Io? Bene!,Io? Bene!,
CaterinaSapiente-Calvino.txt,45,Ti sei pentita di quello schiaffo che m'hai dato?,"<ab type=""pron"" ana=""2"">Ti</ab> sei pentita di quello schiaffo che m'hai dato?",Ti:2
CaterinaSapiente-Calvino.txt,46,E voi ci avete pensato a quello schiaffo che vi devo dare?,"E <ab type=""pron"" ana=""2"">voi</ab> ci avete pensato a quello schiaffo che <ab type=""pron"" ana=""2"">vi</ab> devo dare?",voi:2|vi:2
CaterinaSapiente-Calvino.txt,47,"Pentiti, Caterina, sai! Se no mi rispondo!","Pentiti, Caterina, <ab type=""pron"" ana=""verb_2"">sai</ab>! Se no mi rispondo!",sai:verb_2
CaterinaSapiente-Calvino.txt,48,E risposatevi! Chi vi trattiene?,"E risposate<ab type=""pron"" ana=""2"">vi</ab>! Chi vi trattiene?",vi:2
CaterinaSapiente-Calvino.txt,49,"Se invece ti penti, tornerai a essere mia moglie.","Se invece <ab type=""pron"" ana=""2"">ti</ab> penti, tornerai a essere mia moglie.",ti:2
CaterinaSapiente-Calvino.txt,50,No.,No.,
CaterinaSapiente-Calvino.txt,51,"Napoli, Genova, Venezia, andate a baciare la mano a vostro padre!","Napoli, Genova, Venezia, <ab type=""pron"" ana=""verb_2"">andate</ab> a baciare la mano a vostro padre!",andate:verb_2
CaterinaSapiente-Pitre.txt,1,"<sp>"" Signuri mei, sapiti ch' haja
'na figghia ch'è la pupidda di l'occhi mei ': quant'havi chi
è morta sò matri, stà chiusa comu li gatti ', 'un voli cchiù
affacciari mancu lu nasu.""","<sp>"" Signuri mei, sapiti ch' haja
'na figghia ch'è la pupidda di l'occhi mei ': quant'havi chi
è morta sò matri, stà chiusa comu <ab type=""pron"" ana=""3"">li</ab> gatti ', 'un voli cchiù
affacciari mancu lu nasu.""",li:3
CaterinaSapiente-Pitre.txt,2,""" Chi cci mittemu, Riggined-
da? """,""" Chi cci mittemu, Riggined-
da? """,
CaterinaSapiente-Pitre.txt,3,""" Vinezia. """,""" Vinezia. """,
CaterinaSapiente-Pitre.txt,4,""" Sai chi pensu, Rigginedda ? Lu mé
viaggiu l'haju fattu; ora tornu 'n Palermu; ma prima di
pàrtiri ti fazzu 'na carta accussi e accussi : ca chista è
figghia mia, ed è 'na principissa riali. """,""" Sai chi pensu, Rigginedda ? Lu mé
viaggiu l'haju fattu; ora tornu 'n Palermu; ma prima di
pàr<ab type=""pron"" ana=""2"">ti</ab>ri ti fazzu 'na carta accussi e accussi : ca chista è
figghia mia, ed è 'na principissa riali. """,ti:2
CaterinaSapiente-Pitre.txt,5,"<sp>"" Catarina ! comu si' ?","<sp>"" Catarina ! <ab type=""pron"" ana=""verb_3"">comu</ab> si' ?",comu:verb_3
CaterinaSapiente-Pitre.txt,6,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,7,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,8,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,9,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,10,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,11,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,12,"""
Lu Riuzzu 'un sapennu cchiù chi fari nesci a diri ca
la mugglieri cci muriu, e havi bisognu di maritarisi ar-
reri. Scrivi pi li ritratti di li figghi di li Re pi marita-
risi ?. Cei vennu li ritratti : la megghiu chi cci piaci è
la figghia di lu Re d'Inghilterra; e cci manna a dici ca
vinissiru la matri e la figghia, ca lu matrimoniu è cun-
chiusu ?.
¹ Stannu, qui stando.
² La ricerca de' ritratti de' principi o delle principesse reali nella
scelta d'uno sposo o d'una sposa è cosa ordinaria nelle novelle.
³ Intendi che il principe dopo v sti vari ritra ti scelse la figlia del re
d' Inghilterra, e mandò a dirle che verga insieme colla madre, perché
la scelta per lui è stata fatta.

56
FIABE, RACCONTI, NOVELLE EC.
Junci la principissa e lu Riuzzu d'Inghilittera 'n Sicilia,
e vannu a Palazzu. 'Nta mentri, Catarina chi fa? fa pri-
parari tri bell'abbiti a la riali a li picciriddi soi Napuli,
Genua e Venezia. Lu 'nnumani di l'arrivo di la Princi-
pissa d'Inghilittera s'avia a fari lu matrimoniu. Catarina
si vesti di Riggina chi era, si pigghia a Napuli, vistutu
di Riuzzu, e a Genua e a Venezia vistuti di Principi, si
metti 'nta 'na carrozza di gala e va a Palazzu. Idda cei
dici a li picciriddi: <sp>""","""
Lu Riuzzu 'un sapennu cchiù chi fari nesci a diri ca
la mugg<ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3"">li</ab></ab></ab></ab></ab></ab>eri cci muriu, e havi bisognu di maritarisi ar-
reri. Scrivi pi li ritrat<ab type=""pron"" ana=""2"">ti</ab> di li figghi di li Re pi marita-
risi ?. Cei vennu li ritratti : la megghiu chi cci piaci è
la figghia di lu Re d'Inghilterra; e cci manna a dici ca
vinissiru la matri e la figghia, ca lu matrimoniu è cun-
chiusu ?.
¹ Stannu, qui stando.
² La ricerca de' ritratti de' principi o delle principesse reali nella
scelta d'uno sposo o d'una sposa è cosa ordinaria nelle novelle.
³ Intendi che il principe dopo v sti vari ritra ti scelse la figlia del re
d' Inghilterra, e mandò a dirle che verga insieme colla madre, perché
la scelta per <ab type=""pron"" ana=""3"">lui</ab> è stata fatta.

56
FIABE, RACCONTI, NOVELLE EC.
Junci la principissa e lu Riuzzu d'Inghilittera 'n Sicilia,
e vannu a Palazzu. 'Nta mentri, Catarina chi fa? fa pri-
parari tri bell'abbiti a la riali a li picciriddi soi Napuli,
Genua e Venezia. Lu 'nnumani di l'arrivo di la Princi-
pissa d'Inghilittera s'avia a fari lu matrimoniu. Catarina
si vesti di Riggina chi era, si pigghia a Napuli, vistutu
di Riuzzu, e a Genua e a Venezia vistuti di Principi, si
metti 'nta 'na carrozza di gala e va a Palazzu. Idda cei
dici a li picciriddi: <sp>""",li:3|li:3|li:3|li:3|ti:2|lui:3|li:3|li:3
CaterinaSapiente-Pitre.txt,13,"""","""",
CaterinaSapiente-Pitre.txt,14,"""","""",
CaterinaSapiente-Pitre.txt,15,""" E li
lassa jiri.
Lu Riuzzu fici la morti ch' appi a fari.",""" E <ab type=""pron"" ana=""3"">li</ab>
lassa jiri.
Lu Riuzzu fici la morti ch' appi a fari.",li:3
CaterinaSapiente-Pitre.txt,16,""" cci dici a Catarina: scinni di lu sog-
ghiu e s'abbrazza a li so' figghi. La Principissa d'Inghili-
terra arristau comu la zita cu lu gigghiu rasu ¹. Lu 'nnu-
mani s' ha accattatu lu Cássaru ² e ha partutu. Catarina
cci ha cuntatu a sò maritu tuttu l' arcanu ; e iddu 'un
putia cchiù di addimannàricci pirdunu di chiddu chi cci
¹ Arristari comu la zita cu lu gigghiu rasu, restare come la sposa col
sopracciglio rasò, cioè delusa, scornata. Ecco una spiegazione che ho a-
vuta di queste frase in Salaparuta: Anticamente si costumava che le ra-
gazze che si pròmettevano in matrimonio si radessero le sopracciglia; e que-
sto era segno che già erano zili, cioè fidanzate. Quando il matrimonio
non avea più luogo, allora si dicea: R stau cu lu gigghiu rasu.
² Letteralmente: S'è comprato il Cassero. Dice si così di chi va via. E
siccome il Cassero è il corso principale, e quasi il luogo ove uno può sva-
garsì, perciò si dice che il tale si compra il Cassero.

CATARINA LA SAPIENTI.
57
avia fattu pàtiri. E di ddu jornu 'n poi si vosiru beni
sempri e
Arristarù filici e cuntenti
E nui semu ccà e nn’ammulamu li denti.
Palermo'.
VARIANTI E RISCONTRI.
In un'altra versione col titolo Sapienza, ti cunverti! avven-
gono gli stessi fatti, meno che quello delle lezioni. Il Re era
corrivo che ella non volesse pentirsi, e le dicea sempre: • Sa-
pienza, ti cunverti? • Alla fine, reduce dai viaggi, egli ammalà
gravemente: causa la grande ostinazione di Sapienza. Al letto
di morte ella va a trovarlo coi figli a nome: Napoli, Milano
e Venezia, e dice loro:
Napoli, Milano,
Pigghiativi a Vinezia p'à manu,
Vasàticei a vostu patri li manu.
Così egli rinviene ; le dimanda : Sapienza ti cunverti? Essa
lo guarda, impietosisce, e gli risponde: mi cunvertu! così si
risolve e guarisce.
Bella-e-sapiente.
Bella-e-sapiente è il titolo d'una versione di Ficarazzi rac-
contata da Giuseppa Furia. Bella-e-sapiente è il nome d'una
principessa reale che andava a una scuola, ove intervenivano
fanciulli e fanciulle; agli uni dava lezione il marito, alle al-
tre la moglie. Un giorno i maestri dovettero allontanarsi per
andare ad un corteo di nozze, e affidarono le classi, il maes-
tro a un fanciullo che era figlio del Re, la maestra a Bella-
e-sapiente, che era la più esperta tra le sue compagne. Al-
lievi ed allieve cominciarono a divertirsi, e il principe si per-
mise di dire che un giorno prenderebbe in moglie Bella-e-sa-
' Raccontata dalla solita Aga'uzza Messia.

CATARINA LA SAPIENTI.
Lu Cunsigghiu dici: <sp>""",""" cci dici a Catarina: scinni di lu sog-
ghiu e s'abbrazza a <ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3"">li</ab></ab></ab> so' figghi. La Principissa d'Inghili-
terra arristau comu la zita cu lu gigghiu rasu ¹. Lu 'nnu-
mani s' ha accattatu lu Cássaru ² e ha partutu. Catarina
cci ha cuntatu a sò maritu tuttu l' arcanu ; e iddu 'un
pu<ab type=""pron"" ana=""2""><ab type=""pron"" ana=""2""><ab type=""pron"" ana=""2"">ti</ab></ab></ab>a cchiù di addimannàricci pirdunu di chiddu chi cci
¹ Arristari comu la zita cu lu gigghiu rasu, restare come la sposa col
sopracci<ab type=""pron"" ana=""3"">gli</ab>o rasò, cioè delusa, scornata. Ecco una spiegazione che ho a-
vuta di queste frase in Salaparuta: Anticamente si costumava che le ra-
gazze che si pròmettevano in matrimonio si radessero le sopracciglia; e que-
sto era segno che già erano zili, cioè fidanzate. Quando il matrimonio
non avea più luogo, al<ab type=""pron"" ana=""3"">lo</ab>ra si dicea: R stau cu lu gigghiu rasu.
² Letteralmente: S'è comprato il Cassero. Dice si così di chi va via. E
siccome il Cassero è il corso principale, e quasi il luogo ove uno può sva-
garsì, perciò si dice che il tale si compra il Cassero.

CATARINA LA SAPIENTI.
57
avia fattu pàtiri. E di ddu jornu 'n poi si vosiru beni
sempri e
Arristarù filici e cuntenti
E nui semu ccà e nn’ammulamu li denti.
Palermo'.
VARIANTI E RISCONTRI.
In un'altra versione col titolo Sapienza, ti cunverti! avven-
gono gli stessi fatti, meno che quello delle lezioni. Il Re era
corrivo che ella non volesse pentirsi, e le dicea sempre: • Sa-
pienza, ti cunverti? • Alla fine, reduce dai viaggi, egli ammalà
gravemente: causa la grande ostinazione di Sapienza. Al letto
di morte ella va a trovarlo coi figli a nome: Napoli, Milano
e Venezia, e dice <ab type=""pron"" ana=""3"">loro</ab>:
Napoli, Milano,
Pigghiativi a Vinezia p'à manu,
Vasàticei a vostu patri li manu.
Così egli rinviene ; le dimanda : Sapienza ti cunverti? Essa
lo guarda, impietosisce, e gli risponde: mi cunvertu! così si
risolve e guarisce.
Bella-e-sapiente.
Bella-e-sapiente è il titolo d'una versione di Ficarazzi rac-
contata da Giuseppa Furia. Bella-e-sapiente è il nome d'una
principessa reale che andava a una scuola, ove intervenivano
fanciulli e fanciulle; agli uni dava lezione il marito, alle al-
tre la moglie. Un giorno i maestri dovettero allontanarsi per
andare ad un corteo di nozze, e affidarono le classi, il maes-
tro a un fanciullo che era figlio del Re, la maestra a Bella-
e-sapiente, che era la più esperta tra le sue compagne. Al-
lievi ed allieve cominciarono a divertirsi, e il principe si per-
mise di dire che un giorno prenderebbe in moglie Bella-e-sa-
' Raccontata dalla solita Aga'uzza Messia.

CATARINA LA SAPIENTI.
Lu Cunsigghiu dici: <sp>""",li:3|li:3|ti:2|ti:2|loro:3|li:3|ti:2|lo:3|gli:3
CaterinaSapiente-Pitre.txt,17,"""","""",
CaterinaSapiente-Pitre.txt,18,""" dici lu patri. Chiama la figghia e cci dici:<sp>""",""" <ab type=""pron"" ana=""verb_2"">dici</ab> lu patri. <ab type=""pron"" ana=""verb_3"">Chiama</ab> la figghia e cci dici:<sp>""",dici:verb_2|Chiama:verb_3
CaterinaSapiente-Pitre.txt,19,""" A idda cci piaciu, e si
misi a diriggiri idda stissa li mastri pi fari stu culleg",""" A idda cci piaciu, e si
misi a diriggiri idda stissa <ab type=""pron"" ana=""3"">li</ab> mastri pi fari stu culleg",li:3
CaterinaSapiente-Pitre.txt,20,"""
Comu javanu vinennu li picciotti, masculi e fimmini,
idda li java facennu assittari 'nta li vanchi unu appressu
all'àutru senza particularità pi nuddu. Dici ²: ""","""
Comu javanu vinennu <ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3""><ab type=""pron"" ana=""3"">li</ab></ab></ab> picciotti, masculi e fimmini,
idda li java facennu assittari 'nta li vanchi unu appressu
all'àutru senza particularità pi nuddu. Dici ²: """,li:3|li:3|li:3
CaterinaSapiente-Pitre.txt,21,""" 'Un fa nenti : lu carvanaru s' avia a 'ssittari
allatu di la figghia di lu Principi. Cu' veni prima ma-
cina lu mulinu ³. Accuminzò la scola. Catarina la Sapienti
'nsignava a tutti aguali; a cui nun cci purtava lizioni, 'na
ferra 'nchiummata 'n punta e cafuddava ⁴.
La nnuminata si sappi sina a palazzu, e lu Riuzzu cci
vosi jiri. Si vesti di gran tinuta, trasi, trova un postu, e
idda lu fici assittari a ddu postu. Quannu junciu un' id-
du, Catarina cci spijo 'na difigurtà; lu Riuzzu 'un cci sappi
arrispunniri; ppuhm ! e idda cci cafudda un timpuluni ca

¹ Forse potrebbe togliersi questa fantasia dal capo.
² Dici, ma si potrebbe dire, osservare.
³ Proverbio. Chi primo guange, primo macina.
⁴ Per chi non le portasse la lezione, essa teneva una sferza impiom-
bata in punta, e picchiava.

48
FIABE, NOVELLE, RACCONTI, EC.
criju ca la mascidda ancora cci abbrucia '. Lu Riuzzu curri-
vatu di sta parti, accihiana a Palazzu, e va nni sò patri. -
""",""" 'Un fa nenti : lu carvanaru s' avia a 'ssittari
allatu di la figghia di lu Principi. Cu' veni prima ma-
cina lu mulinu ³. Accuminzò la scola. Catarina la Sapienti
'nsignava a tutti aguali; a cui nun cci purtava lizioni, 'na
ferra 'nchiummata 'n punta e cafuddava ⁴.
La nnuminata si sappi sina a palazzu, e lu Riuzzu cci
vosi jiri. Si vesti di gran tinuta, trasi, trova un postu, e
idda lu fici assittari a ddu postu. Quannu junciu un' id-
du, Catarina cci spijo 'na difigurtà; lu Riuzzu 'un cci sappi
arrispunniri; ppuhm ! e idda cci cafudda un timpuluni ca

¹ Forse potrebbe togliersi questa fantasia dal capo.
² Dici, ma si potrebbe dire, osservare.
³ Proverbio. Chi primo guange, primo macina.
⁴ Per chi non <ab type=""pron"" ana=""3"">le</ab> portasse la lezione, essa teneva una sferza impiom-
bata in punta, e picchiava.

48
FIABE, NOVELLE, RACCONTI, EC.
criju ca la mascidda ancora cci abbrucia '. Lu Riuzzu curri-
vatu di sta parti, accihiana a Palazzu, e va nni sò patri. -
""",le:3
CaterinaSapiente-Pitre.txt,22,""" - Lu Re manna a chiamari a lu patri
di Catarina la Sapienti, e lu patri cci va. - """,""" - Lu Re manna a chiamari a lu patri
di Catarina la Sapienti, e lu patri cci <ab type=""pron"" ana=""verb_3"">va</ab>. - """,va:verb_3
CaterinaSapiente-Pitre.txt,23,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,24,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,25,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,26,"""
Comu lu patri torna a la casa: <sp>""","""
Comu lu patri <ab type=""pron"" ana=""verb_3"">torna</ab> a la casa: <sp>""",torna:verb_3
CaterinaSapiente-Pitre.txt,27,"""","""",
CaterinaSapiente-Pitre.txt,28,"""
'Nta termini ottu jorna, tutti cosi fòru pronti. (Chi cci
ammancava forsi la lana? li cantarana ?) Lu Riuzzu cci
prepara dudici dünzelli; hannu graputu cappella riali, e
l'hannu maritatu.
A la finuta di lu zitaggiu, ' la Riggina cci dissì a sti
dünzelli di jiri a fari lu sò duviri 5, di jiri a spuggliari la
. Rigginedda pi falla curcari 6. Lu Riuzzu arrispusi: <sp>""","""
'Nta termini ottu jorna, tutti cosi fòru pronti. (Chi cci
ammancava forsi la lana? <ab type=""pron"" ana=""3"">li</ab> cantarana ?) Lu Riuzzu cci
prepara dudici dünzelli; hannu graputu cappella riali, e
l'hannu maritatu.
A la finuta di lu zitaggiu, ' la Riggina cci dissì a sti
dünzelli di jiri a fari lu sò duviri 5, di jiri a spuggliari la
. Rigginedda pi falla curcari 6. Lu Riuzzu arrispusi: <sp>""",li:3
CaterinaSapiente-Pitre.txt,29,"""
Comu fòru suli:","""
Comu fòru suli:",
CaterinaSapiente-Pitre.txt,30,"""
<sp>""","""
<sp>""",
CaterinaSapiente-Pitre.txt,31,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,32,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,33,""" - """,""" - """,
CaterinaSapiente-Pitre.txt,34,""" E cu' nni
parra! """,""" E cu' nni
parra! """,
CaterinaSapiente-Pitre.txt,35,""" Alha! chistu cc'è ? Ora ti fazzu avvidiri cu'
sugnu io. """,""" Alha! chistu cc'è ? Ora <ab type=""pron"" ana=""2"">ti</ab> fazzu avvidiri cu'
sugnu io. """,ti:2
